Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2018-1517;2018;Téléfilm;BIGGIE LA FAIM DE VIVRE;Murielle Magellan;BARJAC Production;place marcel aymé, 75018 paris;75018;2018-12-04;2018-12-05;2.33797543;48.88756144;"{""coordinates"": [2.337975430531838, 48.887561441470915], ""type"": ""Point""}";48.887561441470915, 2.337975430531838
2018-1521;2018;Long métrage;LE MEILLEUR RESTE À VENIR;Matthieu DELAPORTE et Alexandre DE LA PATELLIÈRE;CHAPTER 2;144 boulevard exelmans, 75016 paris;75016;2018-12-10;2018-12-10;2.25984355;48.84768125;"{""coordinates"": [2.2598435543718582, 48.847681251800566], ""type"": ""Point""}";48.847681251800566, 2.2598435543718582
2018-1534;2018;Série TV;TOI, TOI, MON TOIT;DENIS IMBERT;THALIE IMAGES - TTMT;58 boulevard de picpus, 75012 paris;75012;2018-12-11;2018-12-13;2.40222303;48.84403949;"{""coordinates"": [2.4022230263883286, 48.84403949127516], ""type"": ""Point""}";48.84403949127516, 2.4022230263883286
2018-1538;2018;Long métrage;C'est la vie;Julien Rambaldi;RECIFILMS;35 boulevard de courcelles, 75008 paris;75008;2018-12-10;2018-12-10;2.31123909;48.88051652;"{""coordinates"": [2.311239089679555, 48.88051651542833], ""type"": ""Point""}";48.88051651542833, 2.311239089679555
2018-1545;2018;Long métrage;LE MEILLEUR RESTE À VENIR;Matthieu DELAPORTE et Alexandre DE LA PATELLIÈRE;CHAPTER 2;104 rue jean-pierre timbaud, 75011 paris;75011;2018-12-13;2018-12-13;2.37876774;48.86798014;"{""coordinates"": [2.3787677427556426, 48.86798013713716], ""type"": ""Point""}";48.86798013713716, 2.3787677427556426
2018-1362;2018;Long métrage;Notre dame;Valérie Donzelli;RECTANGLE PRODUCTIONS;4 rue dulac, 75015 paris;75015;2018-11-06;2018-11-06;2.31521251;48.84353302;"{""coordinates"": [2.3152125060887814, 48.84353302289899], ""type"": ""Point""}";48.84353302289899, 2.3152125060887814
2019-684;2019;Série TV;L'art du crime saison 3;Elsa Bennett et Hippolyte Dard;GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION;place andré malraux, 75001 paris;75001;2019-06-18;2019-06-19;2.33517721;48.8639615;"{""coordinates"": [2.3351772119923653, 48.863961502595], ""type"": ""Point""}";48.863961502595, 2.3351772119923653
2019-697;2019;Série TV;SAM Saison 4;Jean-Marc BRONDOLO;AUTENTIC PROD;44 rue le vau, 75020 paris;75020;2019-06-24;2019-06-24;2.41096167;48.87015896;"{""coordinates"": [2.4109616708707526, 48.87015895525948], ""type"": ""Point""}";48.87015895525948, 2.4109616708707526
2019-700;2019;Long métrage;Madame Claude;Sylvie VERHEYDE;Les Compagnons du Cinéma;route de la muette à neuilly, 75116 paris;75116;2019-06-17;2019-06-17;2.26542145;48.86850804;"{""coordinates"": [2.265421450819015, 48.86850803583522], ""type"": ""Point""}";48.86850803583522, 2.265421450819015
2019-705;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;51 rue de belleville, 75019 paris;75019;2019-06-24;2019-06-25;2.38109404;48.87317942;"{""coordinates"": [2.381094039878224, 48.873179421784045], ""type"": ""Point""}";48.873179421784045, 2.381094039878224
