Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2016-1023;2016;Long métrage;IL A DEJA TES YEUX;LUCIEN JEAN BAPTISTE;NOLITA CINEMA;RUE  SCHEFFER;75016;2016-02-08;2016-02-08;2.282488;48.861646;"{""coordinates"": [2.2824879998977696, 48.8616459999197], ""type"": ""Point""}";48.8616459999197, 2.2824879998977696
2016-1025;2016;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;RUE  POULBOT;75018;2016-02-25;2016-02-25;2.339724;48.886739;"{""coordinates"": [2.3397239995400563, 48.88673900014416], ""type"": ""Point""}";48.88673900014416, 2.3397239995400563
2016-2225;2016;Long métrage;LE REDOUTABLE;MICHEL HAZANAVICIUS;LES COMPAGNONS DU CINEMA;RUE  VICTOR SCHOELCHER;75014;2016-08-09;2016-08-10;2.330821;48.836116;"{""coordinates"": [2.3308210004899816, 48.83611599979493], ""type"": ""Point""}";48.83611599979493, 2.3308210004899816
2016-2248;2016;Série TV;NOIR ENIGMA;MANUEL BOURSINHAC;ASTHARTE ET COMPAGNIE;RUE  DES FOSSES ST JACQUES;75005;2016-01-08;2016-01-09;2.34415;48.845593;"{""coordinates"": [2.3441500006159424, 48.8455929996414], ""type"": ""Point""}";48.8455929996414, 2.3441500006159424
2016-2255;2016;Long métrage;DEMAIN ET TOUS LES AUTRES JOURS (2);NOVEMIE LVOVSKY;F COMME FILM;15  RUE  POLIVEAU;75005;2016-03-30;2016-03-31;2.360048;48.840246;"{""coordinates"": [2.360048000624602, 48.840245999846665], ""type"": ""Point""}";48.840245999846665, 2.360048000624602
2016-2258;2016;Long métrage;LA DOULEUR;EMMANUEL FINKIEL;LES FILMS DU POISSON;RUE  PEREE;75003;2016-08-25;2016-08-26;2.361712;48.864551;"{""coordinates"": [2.361711999828491, 48.8645509999468], ""type"": ""Point""}";48.8645509999468, 2.361711999828491
2020-988;2020;Série TV;PLAN B;Christophe CAMPOS;Gaumont Production Télévision;avenue hussein 1er de jordanie, 75116 paris;75116;2020-12-03;2020-12-03;2.28906637;48.86174998;"{""coordinates"": [2.2890663653593615, 48.86174997591287], ""type"": ""Point""}";48.86174997591287, 2.2890663653593615
2021-129;2021;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;rue corvisart, 75013 paris;75013;2021-02-16;2021-02-16;2.34720196;48.83220798;"{""coordinates"": [2.3472019616928974, 48.83220797943072], ""type"": ""Point""}";48.83220797943072, 2.3472019616928974
2016-1039;2016;Long métrage;LES FILLES DE REIMS;JULIEN HALLARD;LES FILMS VELVET;5  RUE  MARBEUF;75008;2016-09-05;2016-09-05;2.30209;48.867494;"{""coordinates"": [2.3020899996739943, 48.86749400044286], ""type"": ""Point""}";48.86749400044286, 2.3020899996739943
2016-1044;2016;Long métrage;FLORA63;STEPHANE ROBELIN;ICI ET LA PRODUCTIONS;51  RUE  DE BELLEVILLE;75019;2016-05-10;2016-05-10;2.381093;48.873179;"{""coordinates"": [2.381093000555234, 48.87317900001819], ""type"": ""Point""}";48.87317900001819, 2.381093000555234
2016-1054;2016;Série TV;EMMA;ALFRED LOT;MANDARIN CINEMA;55  AVENUE  DE SAXE;75007;2016-02-19;2016-02-19;2.31276;48.846804;"{""coordinates"": [2.3127599999753516, 48.84680400020293], ""type"": ""Point""}";48.84680400020293, 2.3127599999753516
2016-1084;2016;Long métrage;NOS ANNEES FOLLES;ANDRE TECHINE;ARPROD;41  RUE  DAREAU;75014;2016-10-06;2016-10-06;2.335481;48.830352;"{""coordinates"": [2.33548100015418, 48.83035199986774], ""type"": ""Point""}";48.83035199986774, 2.33548100015418
2021-164;2021;Long métrage;STELLA EST AMOUREUSE;Sylvie Verheyde;ATELIER DE PRODUCTION;28 rue coquillière, 75001 paris;75001;2021-02-26;2021-02-26;2.34178291;48.86418432;"{""coordinates"": [2.3417829122737435, 48.8641843236811], ""type"": ""Point""}";48.8641843236811, 2.3417829122737435
2021-1067;2021;Série TV;NOTRE-DAME, LA PART DU FEU;HERVÉ HADMAR;CHEYENNE FEDERATION;quai d'orléans, 75004 paris;75004;2021-07-23;2021-07-23;2.35413521;48.85164079;"{""coordinates"": [2.3541352076585884, 48.85164079331912], ""type"": ""Point""}";48.85164079331912, 2.3541352076585884
2020-816;2020;Long métrage;La Menace;Philippe Le Guay;Les Films Des Tournelles;33 rue marx dormoy, 75018 paris;75018;2020-11-09;2020-11-09;2.35946052;48.88687745;"{""coordinates"": [2.359460518783526, 48.886877446882245], ""type"": ""Point""}";48.886877446882245, 2.359460518783526
2020-835;2020;Long métrage;MES TRÈS CHERS ENFANTS;ALEXANDRA LECLÈRE;LES FILMS DU 24;35 avenue du général sarrail, 75016 paris;75016;2020-11-13;2020-11-13;2.25558316;48.84372895;"{""coordinates"": [2.2555831575513556, 48.843728953162795], ""type"": ""Point""}";48.843728953162795, 2.2555831575513556
2018-1075;2018;Long métrage;Femme-Enfant;Amro Hamzawi;ECCE FILMS;77 rue d'hauteville, 75010 paris;75010;2018-09-25;2018-09-26;2.35104056;48.8763142;"{""coordinates"": [2.351040557231811, 48.87631419751702], ""type"": ""Point""}";48.87631419751702, 2.351040557231811
2016-912;2016;Série TV;MUNCH;NICOLAS GUICHETEAU;EXILENE FILMS;RUE  CHANOINESSE;75004;2016-10-28;2016-10-28;2.350685;48.853792;"{""coordinates"": [2.3506849995613157, 48.853792000102295], ""type"": ""Point""}";48.853792000102295, 2.3506849995613157
2016-922;2016;Long métrage;CHERCHEZ LA FEMME;SOU ABADI;THE FILM;5  RUE  DE SEINE;75006;2016-05-13;2016-05-13;2.336785;48.854758;"{""coordinates"": [2.336784999357333, 48.85475800029209], ""type"": ""Point""}";48.85475800029209, 2.336784999357333
2016-925;2016;Long métrage;H4-93;OLIVIER AYACHE VIDAL;L'ATELIER DE PRODUCTION;RUE  VICTOR COUSIN;75005;2016-08-03;2016-08-03;2.342341;48.847767;"{""coordinates"": [2.3423409994213324, 48.84776700034685], ""type"": ""Point""}";48.84776700034685, 2.3423409994213324
2021-1083;2021;Série TV;IRMA VEP SERIAL;Olivier Assayas;LES FILMS MYSTERIEUX;1 place boieldieu, 75002 paris;75002;2021-07-29;2021-07-30;2.3376554;48.87067117;"{""coordinates"": [2.3376553998488188, 48.870671173004425], ""type"": ""Point""}";48.870671173004425, 2.3376553998488188
2018-1081;2018;Long métrage;Femme-Enfant;Amro Hamzawi;ECCE FILMS;12 rue du borrégo, 75020 paris;75020;2018-09-28;2018-09-29;2.39894426;48.87258704;"{""coordinates"": [2.3989442567830292, 48.872587042618136], ""type"": ""Point""}";48.872587042618136, 2.3989442567830292
2018-1095;2018;Série Web;LES AVENTURES DE RICHARD;Guillaume VATAN;FABLABCHANNEL;rue de bretagne, 75003 paris;75003;2018-09-24;2018-09-24;2.36208597;48.86311343;"{""coordinates"": [2.3620859654711364, 48.86311343394028], ""type"": ""Point""}";48.86311343394028, 2.3620859654711364
2016-935;2016;Série TV;LA VIE DEVANT ELLES/SAISON 2;GABRIEL AGHION;CINETEVE;JARDIN*  DU TROCADERO;75016;2016-09-16;2016-09-16;2.28222;48.862548;"{""coordinates"": [2.2822200003353386, 48.8625480003512], ""type"": ""Point""}";48.8625480003512, 2.2822200003353386
2016-939;2016;Série TV;LEBOWITZ CONTRE LEBOWITZ/9 A 12;CHRISTOPHE BARRAUD;CHABRAQUE PRODUCTIONS;4  RUE  FRANCOEUR;75018;2016-11-04;2016-11-04;2.342695;48.890023;"{""coordinates"": [2.3426949996690825, 48.890022999976054], ""type"": ""Point""}";48.890022999976054, 2.3426949996690825
2016-946;2016;Long métrage;L'UN DANS L'AUTRE;BRUNO CHICHE;VENDOME PRODUCTION;72  AVENUE  DE WAGRAM;75017;2016-11-02;2016-11-02;2.299844;48.880055;"{""coordinates"": [2.2998440001779077, 48.88005500033843], ""type"": ""Point""}";48.88005500033843, 2.2998440001779077
2016-950;2016;Long métrage;LE GRAND SAUT;E.TOLENADO/O.NAKACHE;QUAD;18  AVENUE  DE SUFFREN;75015;2016-07-25;2016-07-25;2.293285;48.855865;"{""coordinates"": [2.293284999922833, 48.85586499987521], ""type"": ""Point""}";48.85586499987521, 2.293284999922833
2016-967;2016;Série TV;MA PIRE ANGOISSE;VLADIMIR RODIONOFF;LES IMPRODUCTIBLES;RUE  DU FAUBOURG SAINT MARTIN;75010;2016-03-29;2016-03-29;2.360673;48.876172;"{""coordinates"": [2.3606729995467917, 48.87617199996699], ""type"": ""Point""}";48.87617199996699, 2.3606729995467917
2016-986;2016;Série TV;BLACKPILLS/VIRGIN;NATH DUMONT;TOGETHER MEDIA 2;2  PLACE  GUSTAVE TOUDOUZE;75009;2016-08-03;2016-08-03;2.33749;48.879432;"{""coordinates"": [2.3374899996288985, 48.87943199989181], ""type"": ""Point""}";48.87943199989181, 2.3374899996288985
2021-1117;2021;Série TV;Ils ont dit;Ornella Fleury;La Blogothèque Productions;37 quai de la seine, 75019 paris;75019;2021-08-05;2021-08-05;2.37303226;48.88606874;"{""coordinates"": [2.373032263988445, 48.88606873478026], ""type"": ""Point""}";48.88606873478026, 2.373032263988445
2021-1152;2021;Série TV;IRMA VEP SERIAL;Olivier Assayas;LES FILMS MYSTERIEUX;4 rue agar, 75016 paris;75016;2021-08-04;2021-08-05;2.27394303;48.8514821;"{""coordinates"": [2.273943032547055, 48.851482095630494], ""type"": ""Point""}";48.851482095630494, 2.273943032547055
2021-19;2021;Téléfilm;La Dernière Partie;Ludovic Colbeau-Justin;CALT STORY;1 place des etats-unis, 75116 paris;75116;2021-01-07;2021-01-07;2.29481586;48.86750205;"{""coordinates"": [2.2948158560608687, 48.8675020440803], ""type"": ""Point""}";48.8675020440803, 2.2948158560608687
2016-2482;2016;Série TV;THE AFFAIR;JEFFREY REINER;GEM FILMS;19  RUE  CHARLEMAGNE;75004;2016-12-06;2016-12-06;2.359655;48.854241;"{""coordinates"": [2.3596550000183276, 48.85424099982406], ""type"": ""Point""}";48.85424099982406, 2.3596550000183276
2016-2504;2016;Série TV;LES HOMMES DE L'OMBRE;FRED GARSON;MACONDO;110  RUE  DE GRENELLE (MINISTERE DE L'EDUCATION);75007;2016-03-22;2016-03-24;2.320797;48.856634;"{""coordinates"": [2.320796999345031, 48.8566339998201], ""type"": ""Point""}";48.8566339998201, 2.320796999345031
2016-2516;2016;Série TV;LIANG SHENG;LIU CHUN-CHIEN;KANZAMAN FRANCE;RUE  DU TRESOR;75004;2016-12-13;2016-12-13;2.357911;48.857112;"{""coordinates"": [2.3579109997621255, 48.85711200042011], ""type"": ""Point""}";48.85711200042011, 2.3579109997621255
2021-1158;2021;Long métrage;Avant l'effondrement;Benoît et Alice ZENITER;Elzevir Films;118 rue des poissonniers, 75018 paris;75018;2021-08-12;2021-08-12;2.35301439;48.89449171;"{""coordinates"": [2.353014385266064, 48.89449171356887], ""type"": ""Point""}";48.89449171356887, 2.353014385266064
2021-1184;2021;Série TV;IRMA VEP SERIAL;Olivier Assayas;LES FILMS MYSTERIEUX;3 rue péguy, 75006 paris;75006;2021-08-18;2021-08-18;2.32805094;48.84307508;"{""coordinates"": [2.328050938642092, 48.84307508198203], ""type"": ""Point""}";48.84307508198203, 2.328050938642092
2016-2533;2016;Long métrage;LES EX;MAURICE BARTHELEMY;RADAR FILMS;BOULEVARD  DU PALAIS;75001;2016-10-05;2016-10-05;2.34585;48.855567;"{""coordinates"": [2.345849999791113, 48.85556699957187], ""type"": ""Point""}";48.85556699957187, 2.345849999791113
2016-2534;2016;Long métrage;THE ESCAPE;DOMINIC SAVAGE;HANNA FILMS;RUE  DE LA FAYETTE;75010;2016-10-19;2016-10-19;2.3595;48.88006;"{""coordinates"": [2.3594999998706636, 48.88005999977526], ""type"": ""Point""}";48.88005999977526, 2.3594999998706636
2016-2570;2016;Long métrage;LOLA PATER;NADIR MOKNECHE;BLUE MONDAY PRODUCTIONS;74  RUE  DE LA ROQUETTE;75011;2016-04-18;2016-04-18;2.37523;48.855768;"{""coordinates"": [2.375229999347572, 48.85576799956813], ""type"": ""Point""}";48.85576799956813, 2.375229999347572
2016-787;2016;Long métrage;LA SAGE FEMME;MARTIN PROVOST;CURIOSA FILMS;9  RUE  DE L'AMIRAL D'ESTAING;75016;2016-05-20;2016-05-20;2.293241;48.866925;"{""coordinates"": [2.293240999921803, 48.86692499986481], ""type"": ""Point""}";48.86692499986481, 2.293240999921803
2016-2318;2016;Long métrage;BEFIKRE;ADITYA CHOPRA;FIRSTEP;18  RUE  VAUQUELIN;75005;2016-05-13;2016-05-14;2.34698;48.84093;"{""coordinates"": [2.346980000522532, 48.84092999978854], ""type"": ""Point""}";48.84092999978854, 2.346980000522532
2020-1023;2020;Série TV;PLAN B;Christophe CAMPOS;Gaumont Production Télévision;place charles de gaulle, 75017 paris;75017;2020-12-03;2020-12-03;2.2949242;48.87449291;"{""coordinates"": [2.294924203241817, 48.874492904867935], ""type"": ""Point""}";48.874492904867935, 2.294924203241817
2016-2355;2016;Long métrage;GC5;GUILLAUME CANET;LES PRODUCTIONS DU TRESOR;16  RUE  CAPRON;75018;2016-03-16;2016-03-16;2.328483;48.885522;"{""coordinates"": [2.328482999320942, 48.88552200022175], ""type"": ""Point""}";48.88552200022175, 2.328482999320942
2020-1042;2020;Long métrage;LES FEMMES DU SQUARE;Julien Rambaldi;LES FILMS DU KIOSQUE;15 boulevard de clichy, 75009 paris;75009;2020-12-03;2020-12-03;2.33784993;48.88210668;"{""coordinates"": [2.33784992939552, 48.88210668256023], ""type"": ""Point""}";48.88210668256023, 2.33784992939552
2020-1046;2020;Long métrage;ROBUSTE;CONSTANCE MEYER;DHARAMSALA;22 rue louise weiss, 75013 paris;75013;2020-12-10;2020-12-10;2.37030767;48.83381963;"{""coordinates"": [2.3703076691236196, 48.83381963033694], ""type"": ""Point""}";48.83381963033694, 2.3703076691236196
2020-1054;2020;Long métrage;A NOS AGES;ROBIN SYKES;2425 FILMS;14b avenue hoche, 75008 paris;75008;2020-12-17;2020-12-17;2.30194369;48.87685926;"{""coordinates"": [2.3019436904007415, 48.87685926275992], ""type"": ""Point""}";48.87685926275992, 2.3019436904007415
2020-1059;2020;Long métrage;FEU !!;Claire Denis;CURIOSA FILMS;16 rue lucien sampaix, 75010 paris;75010;2020-12-07;2020-12-11;2.36073798;48.87194898;"{""coordinates"": [2.3607379841978444, 48.871948980628126], ""type"": ""Point""}";48.871948980628126, 2.3607379841978444
2020-1063;2020;Série TV;LE CODE;Jean-Christophe Delpias;MAKING PROD;17 boulevard saint-jacques, 75014 paris;75014;2020-12-18;2020-12-18;2.33950433;48.83189469;"{""coordinates"": [2.3395043339781476, 48.831894691981844], ""type"": ""Point""}";48.831894691981844, 2.3395043339781476
2021-205;2021;Long métrage;Un An une Nuit;Isaki Lacuesta;Noodles Production;1 rue du docteur magnan, 75013 paris;75013;2021-03-07;2021-03-08;2.36232436;48.82743448;"{""coordinates"": [2.362324360161457, 48.82743447415568], ""type"": ""Point""}";48.82743447415568, 2.362324360161457
2021-212;2021;Long métrage;Le Marchand de Sable;Steve Achiepo;Barney Production;36 avenue du général sarrail, 75016 paris;75016;2021-03-01;2021-03-03;2.25415839;48.84305352;"{""coordinates"": [2.25415839112093, 48.84305351850061], ""type"": ""Point""}";48.84305351850061, 2.25415839112093
2021-1315;2021;Série TV;IRMA VEP SERIAL;Olivier Assayas;LES FILMS MYSTERIEUX;46 boulevard de la bastille, 75012 paris;75012;2021-09-10;2021-09-11;2.36919734;48.85103716;"{""coordinates"": [2.3691973414950867, 48.8510371553189], ""type"": ""Point""}";48.8510371553189, 2.3691973414950867
2020-838;2020;Long métrage;MES TRÈS CHERS ENFANTS;ALEXANDRA LECLÈRE;LES FILMS DU 24;7 rue raffaëlli, 75016 paris;75016;2020-11-13;2020-11-13;2.25567522;48.84317824;"{""coordinates"": [2.2556752184532267, 48.843178238253664], ""type"": ""Point""}";48.843178238253664, 2.2556752184532267
2020-859;2020;Long métrage;ORANGES SANGUINES;Jean-Christophe Meurisse;MAMMA ROMAN;13 place valhubert, 75005 paris;75005;2020-11-10;2020-11-11;2.36384539;48.84409896;"{""coordinates"": [2.3638453947692124, 48.84409895759841], ""type"": ""Point""}";48.84409895759841, 2.3638453947692124
2017-926;2017;Long métrage;Synonymes;Nadav Lapid;SBS FILMS;place saint-gervais, 75004 paris;75004;2017-11-24;2017-11-24;2.35416512;48.85582175;"{""coordinates"": [2.3541651159144346, 48.85582175149272], ""type"": ""Point""}";48.85582175149272, 2.3541651159144346
2018-1117;2018;Long métrage;Van Gogh in love;Jean Luc Ayach;MICA Films;80 rue de charonne, 75011 paris;75011;2018-10-04;2018-10-04;2.38083897;48.8535956;"{""coordinates"": [2.380838970345603, 48.853595600444955], ""type"": ""Point""}";48.853595600444955, 2.380838970345603
2018-1130;2018;Long métrage;QUAND ON CRIE AU LOUP;Marilou Berry;Wonder Films;5 rue louis boilly, 75016 paris;75016;2018-09-29;2018-09-29;2.26683189;48.85915131;"{""coordinates"": [2.266831892417547, 48.8591513080551], ""type"": ""Point""}";48.8591513080551, 2.266831892417547
2018-1140;2018;Long métrage;LUZ;Flora LAU;AMA Productions;15 rue saint-fiacre, 75002 paris;75002;2018-09-25;2018-09-26;2.34557851;48.87046372;"{""coordinates"": [2.345578511833143, 48.870463721004135], ""type"": ""Point""}";48.870463721004135, 2.345578511833143
2018-1142;2018;Long métrage;LA VERITE SI JE MENS - LES DEBUTS;Michel MUNZ  et Gérard BITTON;LA VERITE PRODUCTION;40 rue de bassano, 75008 paris;75008;2018-09-27;2018-09-27;2.29896875;48.87028542;"{""coordinates"": [2.298968746466519, 48.87028541911754], ""type"": ""Point""}";48.87028541911754, 2.298968746466519
2017-1684;2017;Long métrage;D'après une histoire vraie;;WY Productions;6 rue charles-françois dupuis, 75003 paris;75003;2017-01-26;2017-01-26;2.3631982;48.8651778;"{""coordinates"": [2.3631981978882357, 48.86517780286148], ""type"": ""Point""}";48.86517780286148, 2.3631981978882357
2017-540;2017;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;place henri frenay, 75012 paris;75012;2017-09-23;2017-09-24;2.37617109;48.84526539;"{""coordinates"": [2.376171086723306, 48.84526539107677], ""type"": ""Point""}";48.84526539107677, 2.376171086723306
2017-551;2017;Long métrage;AU POSTE;Quentin Dupieux;L'ATELIER DE PRODUCTION;16 avenue de la motte-picquet, 75007 paris;75007;2017-09-26;2017-09-27;2.30853747;48.85654448;"{""coordinates"": [2.308537474792186, 48.8565444771488], ""type"": ""Point""}";48.8565444771488, 2.308537474792186
2018-34;2018;Série TV;ALICE NEVERS episodes 98,99 saison 15;jean christophe delpias;EGO PRoductions;rue des orfèvres, 75001 paris;75001;2018-01-18;2018-01-18;2.34525367;48.85851701;"{""coordinates"": [2.3452536658000644, 48.85851700951256], ""type"": ""Point""}";48.85851700951256, 2.3452536658000644
2018-40;2018;Long métrage;L'Enkas;Sarah Marx;La rumeur filme;22 rue etienne dolet, 75020 paris;75020;2018-01-12;2018-01-12;2.38452245;48.86778176;"{""coordinates"": [2.3845224458527126, 48.86778175945653], ""type"": ""Point""}";48.86778175945653, 2.3845224458527126
2018-48;2018;Long métrage;MON INCONNUE;HUGO GÉLIN;ZAZI FILMS;7 avenue de lamballe, 75016 paris;75016;2018-02-06;2018-02-06;2.28157166;48.85439568;"{""coordinates"": [2.28157165857524, 48.85439567651464], ""type"": ""Point""}";48.85439567651464, 2.28157165857524
2018-382;2018;Long métrage;Les Traducteurs;Regis Roinsard;SAS TRESOR FILMS;9 boulevard de denain, 75010 paris;75010;2018-03-23;2018-03-23;2.35437293;48.87966051;"{""coordinates"": [2.354372925448811, 48.87966050598248], ""type"": ""Point""}";48.87966050598248, 2.354372925448811
2018-585;2018;Série TV;ENGRENAGES SAISON 7;Jean-Philippe Amar;SON ET LUMIERE;26 villa croix nivert, 75015 paris;75015;2018-05-17;2018-05-18;2.30075803;48.84533566;"{""coordinates"": [2.300758033785354, 48.84533565851793], ""type"": ""Point""}";48.84533565851793, 2.300758033785354
2018-599;2018;Long métrage;La première séance;Justine Triet;LES FILMS PELLEAS;rue hélène brion, 75013 paris;75013;2018-05-16;2018-05-16;2.3814038;48.82833802;"{""coordinates"": [2.3814037966566524, 48.828338022207504], ""type"": ""Point""}";48.828338022207504, 2.3814037966566524
2017-1710;2017;Long métrage;AMI, AMI;VICTOR SAINT MACARY;NORD-OUEST FILMS;341 rue des pyrénées, 75020 paris;75020;2017-02-15;2017-02-15;2.39205448;48.87168638;"{""coordinates"": [2.3920544780820445, 48.87168637780439], ""type"": ""Point""}";48.87168637780439, 2.3920544780820445
2017-452;2017;Long métrage;Jewell Stone;Sandrine Dumas;PIO and CO;8 rue pixérécourt, 75020 paris;75020;2017-08-29;2017-08-29;2.39558929;48.87050958;"{""coordinates"": [2.3955892896534596, 48.87050957461368], ""type"": ""Point""}";48.87050957461368, 2.3955892896534596
2017-473;2017;Long métrage;MAYA;Mia Hansen-Love;LES FILMS PELLEAS;avenue gambetta, 75020 paris;75020;2017-09-01;2017-09-01;2.39988317;48.86652176;"{""coordinates"": [2.399883173378247, 48.86652175474186], ""type"": ""Point""}";48.86652175474186, 2.399883173378247
2017-1658;2017;Long métrage;L'Envers du Decors;Daniel Auteuil;Curiosa;15 avenue junot, 75018 paris;75018;2017-09-15;2017-09-16;2.33573838;48.88809672;"{""coordinates"": [2.3357383764231474, 48.88809671518553], ""type"": ""Point""}";48.88809671518553, 2.3357383764231474
2018-237;2018;Long métrage;CASANOVA;BENOIT JACQUOT;LES FILMS DU LENDEMAIN;6 rue de montpensier, 75001 paris;75001;2018-03-17;2018-03-17;2.33648913;48.86408229;"{""coordinates"": [2.336489127447807, 48.86408228967419], ""type"": ""Point""}";48.86408228967419, 2.336489127447807
2018-613;2018;Série TV;L'art du crime saison 2;Elsa Bennett et Hippolyte Dard;GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION;48 rue botzaris, 75019 paris;75019;2018-05-10;2018-05-10;2.38339338;48.87901714;"{""coordinates"": [2.3833933758260484, 48.87901713693532], ""type"": ""Point""}";48.87901713693532, 2.3833933758260484
2018-954;2018;Long métrage;It Must Be Heaven;Elia Suleiman;Rectangle Productions;rue de la convention, 75015 paris;75015;2018-08-14;2018-08-15;2.28856389;48.84080131;"{""coordinates"": [2.288563893999551, 48.84080130532554], ""type"": ""Point""}";48.84080130532554, 2.288563893999551
2018-969;2018;Long métrage;It Must Be Heaven;Elia Suleiman;Rectangle Productions;50 rue montorgueil, 75002 paris;75002;2018-08-17;2018-08-18;2.34686719;48.86472183;"{""coordinates"": [2.346867194252562, 48.86472182823695], ""type"": ""Point""}";48.86472182823695, 2.346867194252562
2017-1739;2017;Long métrage;La belle et la belle;Sophie Fillières;CHRISTMAS IN JULY;16 rue du repos, 75020 paris;75020;2017-02-24;2017-02-24;2.39083731;48.85978936;"{""coordinates"": [2.3908373126535376, 48.859789355660766], ""type"": ""Point""}";48.859789355660766, 2.3908373126535376
2017-1742;2017;Série TV;LIKE ME saison 2;Romuald Boulanger;R-LINES PRODUCTIONS;11 rue meynadier, 75019 paris;75019;2017-02-23;2017-02-23;2.38321128;48.88355004;"{""coordinates"": [2.3832112764904476, 48.88355003639894], ""type"": ""Point""}";48.88355003639894, 2.3832112764904476
2017-1467;2017;Long métrage;MRS MILLS;sophie marceau;les films du Cap;esplanade des invalides, 75007 paris;75007;2017-07-07;2017-07-07;2.31225572;48.8605149;"{""coordinates"": [2.3122557241152895, 48.86051490327669], ""type"": ""Point""}";48.86051490327669, 2.3122557241152895
2017-632;2017;Série TV;Vingt-cinq;Bryan Marciano;ELIPH PRODUCTIONS;112 boulevard de belleville, 75020 paris;75020;2017-10-02;2017-10-03;2.3784298;48.87104868;"{""coordinates"": [2.378429800773926, 48.8710486785482], ""type"": ""Point""}";48.8710486785482, 2.378429800773926
2017-645;2017;Série TV;ALICE NEVERS;vincent giovanni;EGO PRoductions;75 rue de la santé, 75013 paris;75013;2017-10-19;2017-10-19;2.34127115;48.83219984;"{""coordinates"": [2.341271151450472, 48.83219983478776], ""type"": ""Point""}";48.83219983478776, 2.341271151450472
2017-648;2017;Série TV;ALICE NEVERS;vincent giovanni;EGO PRoductions;rue emile dubois, 75014 paris;75014;2017-10-18;2017-10-18;2.33743096;48.83157746;"{""coordinates"": [2.3374309597358236, 48.831577455240776], ""type"": ""Point""}";48.831577455240776, 2.3374309597358236
2017-658;2017;Série TV;Joséphine Ange Gardien Tous pour un;Thierry Petit;DEMD PRODUCTIONS;8 rue saint-bernard, 75011 paris;75011;2017-10-11;2017-10-11;2.38164061;48.85097261;"{""coordinates"": [2.3816406115055626, 48.85097261288482], ""type"": ""Point""}";48.85097261288482, 2.3816406115055626
2018-250;2018;Série TV;Bliss;Marie Jardillier, Mathieu Oullion;SAS MAJA FILMS;rue de turenne, 75003 paris;75003;2018-03-03;2018-03-03;2.36455579;48.85996375;"{""coordinates"": [2.364555785956157, 48.85996374420898], ""type"": ""Point""}";48.85996374420898, 2.364555785956157
2018-262;2018;Long métrage;ZONE FRANCHE;Monsieur Mohamed Hamidi;ADNP QUAD FILMS;14 rue jean macé, 75011 paris;75011;2018-03-06;2018-03-08;2.38342595;48.85324984;"{""coordinates"": [2.383425945828398, 48.85324983913228], ""type"": ""Point""}";48.85324983913228, 2.383425945828398
2018-277;2018;Long métrage;MAIS VOUS ETES FOUS;AUDREY DIWAN;RECTANGLE PRODUCTIONS;69 avenue kléber, 75116 paris;75116;2018-03-07;2018-03-07;2.28952296;48.86578034;"{""coordinates"": [2.2895229639267956, 48.865780334256364], ""type"": ""Point""}";48.865780334256364, 2.2895229639267956
2017-1477;2017;Long métrage;BUDAPEST;Xavier Gens;LABYRINTHE FILMS;17 rue tiquetonne, 75002 paris;75002;2017-07-17;2017-07-18;2.34856566;48.86461815;"{""coordinates"": [2.348565660021395, 48.86461814542419], ""type"": ""Point""}";48.86461814542419, 2.348565660021395
2017-379;2017;Long métrage;From Moscow to Royan 3.0;Elena Cosson;Mithra Films;36 rue condorcet, 75009 paris;75009;2017-08-23;2017-08-23;2.34509049;48.8799422;"{""coordinates"": [2.3450904860583743, 48.87994220121458], ""type"": ""Point""}";48.87994220121458, 2.3450904860583743
2017-390;2017;Long métrage;Tout ce qu'il me reste de la revolution;Judith Davis;Apsara Films;212 boulevard voltaire, 75011 paris;75011;2017-09-15;2017-09-15;2.3875832;48.85316004;"{""coordinates"": [2.387583196874914, 48.853160038359924], ""type"": ""Point""}";48.853160038359924, 2.387583196874914
2018-304;2018;Série TV;The Marvelous Mrs Maisel;Amy Sherman-Palladino et Dan Palladino;NW 2018;27 rue de lappe, 75011 paris;75011;2018-03-20;2018-03-21;2.37303791;48.85360587;"{""coordinates"": [2.3730379114799804, 48.85360587338731], ""type"": ""Point""}";48.85360587338731, 2.3730379114799804
2018-10;2018;Série TV;ENGRENAGES S7;Frédéric JARDIN;Son et Lumière;place rhin et danube, 75019 paris;75019;2018-03-12;2018-03-12;2.39324502;48.88213597;"{""coordinates"": [2.3932450173776223, 48.88213597109749], ""type"": ""Point""}";48.88213597109749, 2.3932450173776223
2018-14;2018;Série TV;ENGRENAGES S7;Frédéric JARDIN;Son et Lumière;15 rue du théâtre, 75015 paris;75015;2018-02-01;2018-02-03;2.28555949;48.84993915;"{""coordinates"": [2.2855594909757597, 48.84993915136381], ""type"": ""Point""}";48.84993915136381, 2.2855594909757597
